MITRE ATT&CK Tactic,MITRE ATT&CK Technique,Description,Windows Event IDs,Threat Name/Tool/CVE,Question,Answer
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,How can an organization respond to detections of Login failure from a single source with a disabled account?,Organizations can respond to detections of 'Login failure from a single source with a disabled account' by monitoring Event ID(s) 33205 and implementing mitigations against T1078.002-Valid accounts-Domain accounts.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Login failure from a single source with a disabled account,33205,,What preventive actions can reduce the risk of T1078.002-Valid accounts-Domain accounts?,Preventive actions that can reduce the risk of T1078.002-Valid accounts-Domain accounts include proactive monitoring for Login failure from a single source with a disabled account and event ID(s) 33205.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,What events indicate Success login on OpenSSH server?,The events that indicate 'Success login on OpenSSH server' include Event ID(s) 4.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,Which Event ID(s) should be monitored for Success login on OpenSSH server?,"To monitor for 'Success login on OpenSSH server', look for Event ID(s) 4."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,Which tools or threats are associated with the technique T1078.002-Valid accounts-Domain accounts?,The tools or threats associated with T1078.002-Valid accounts-Domain accounts include SSH server.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,What vulnerabilities are related to T1078.002-Valid accounts-Domain accounts?,The vulnerabilities related to T1078.002-Valid accounts-Domain accounts include SSH server.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,What does it mean when Success login on OpenSSH server appears in logs?,"When 'Success login on OpenSSH server' appears in logs, it indicates an occurrence of Event ID(s) 4 under tactic TA0001-Initial access and technique T1078.002-Valid accounts-Domain accounts."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,In which scenarios might Success login on OpenSSH server be detected?,"'Success login on OpenSSH server' might be detected in scenarios involving the T1078.002-Valid accounts-Domain accounts technique under the TA0001-Initial access tactic, possibly related to threat(s) SSH server."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,What behavior indicates the use of T1078.002-Valid accounts-Domain accounts?,"The behavior indicating the use of T1078.002-Valid accounts-Domain accounts includes events such as 'Success login on OpenSSH server', often marked by Event ID(s) 4."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,What patterns might signify T1078.002-Valid accounts-Domain accounts activity?,"Patterns that may signify T1078.002-Valid accounts-Domain accounts activity include log entries of Event ID(s) 4, particularly descriptions like 'Success login on OpenSSH server'."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,How can an organization respond to detections of Success login on OpenSSH server?,Organizations can respond to detections of 'Success login on OpenSSH server' by monitoring Event ID(s) 4 and implementing mitigations against T1078.002-Valid accounts-Domain accounts.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4,SSH server,What preventive actions can reduce the risk of T1078.002-Valid accounts-Domain accounts?,Preventive actions that can reduce the risk of T1078.002-Valid accounts-Domain accounts include proactive monitoring for Success login on OpenSSH server and event ID(s) 4.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,What events indicate Success login on OpenSSH server?,The events that indicate 'Success login on OpenSSH server' include Event ID(s) 4624.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,Which Event ID(s) should be monitored for Success login on OpenSSH server?,"To monitor for 'Success login on OpenSSH server', look for Event ID(s) 4624."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,Which tools or threats are associated with the technique T1078.002-Valid accounts-Domain accounts?,The tools or threats associated with T1078.002-Valid accounts-Domain accounts include SSH server.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,What vulnerabilities are related to T1078.002-Valid accounts-Domain accounts?,The vulnerabilities related to T1078.002-Valid accounts-Domain accounts include SSH server.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,What does it mean when Success login on OpenSSH server appears in logs?,"When 'Success login on OpenSSH server' appears in logs, it indicates an occurrence of Event ID(s) 4624 under tactic TA0001-Initial access and technique T1078.002-Valid accounts-Domain accounts."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,In which scenarios might Success login on OpenSSH server be detected?,"'Success login on OpenSSH server' might be detected in scenarios involving the T1078.002-Valid accounts-Domain accounts technique under the TA0001-Initial access tactic, possibly related to threat(s) SSH server."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,What behavior indicates the use of T1078.002-Valid accounts-Domain accounts?,"The behavior indicating the use of T1078.002-Valid accounts-Domain accounts includes events such as 'Success login on OpenSSH server', often marked by Event ID(s) 4624."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,What patterns might signify T1078.002-Valid accounts-Domain accounts activity?,"Patterns that may signify T1078.002-Valid accounts-Domain accounts activity include log entries of Event ID(s) 4624, particularly descriptions like 'Success login on OpenSSH server'."
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,How can an organization respond to detections of Success login on OpenSSH server?,Organizations can respond to detections of 'Success login on OpenSSH server' by monitoring Event ID(s) 4624 and implementing mitigations against T1078.002-Valid accounts-Domain accounts.
TA0001-Initial access,T1078.002-Valid accounts-Domain accounts,Success login on OpenSSH server,4624,SSH server,What preventive actions can reduce the risk of T1078.002-Valid accounts-Domain accounts?,Preventive actions that can reduce the risk of T1078.002-Valid accounts-Domain accounts include proactive monitoring for Success login on OpenSSH server and event ID(s) 4624.
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,What events indicate RDP reconnaissance with valid credentials performed to multiple hosts?,The events that indicate 'RDP reconnaissance with valid credentials performed to multiple hosts' include Event ID(s) 4624 or 1149.
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,Which Event ID(s) should be monitored for RDP reconnaissance with valid credentials performed to multiple hosts?,"To monitor for 'RDP reconnaissance with valid credentials performed to multiple hosts', look for Event ID(s) 4624 or 1149."
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,Which tools or threats are associated with the technique T1078-Valid accounts?,The tools or threats associated with T1078-Valid accounts include nan.
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,What vulnerabilities are related to T1078-Valid accounts?,The vulnerabilities related to T1078-Valid accounts include nan.
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,What does it mean when RDP reconnaissance with valid credentials performed to multiple hosts appears in logs?,"When 'RDP reconnaissance with valid credentials performed to multiple hosts' appears in logs, it indicates an occurrence of Event ID(s) 4624 or 1149 under tactic TA0001-Initial access and technique T1078-Valid accounts."
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,In which scenarios might RDP reconnaissance with valid credentials performed to multiple hosts be detected?,"'RDP reconnaissance with valid credentials performed to multiple hosts' might be detected in scenarios involving the T1078-Valid accounts technique under the TA0001-Initial access tactic, possibly related to threat(s) nan."
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,What behavior indicates the use of T1078-Valid accounts?,"The behavior indicating the use of T1078-Valid accounts includes events such as 'RDP reconnaissance with valid credentials performed to multiple hosts', often marked by Event ID(s) 4624 or 1149."
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,What patterns might signify T1078-Valid accounts activity?,"Patterns that may signify T1078-Valid accounts activity include log entries of Event ID(s) 4624 or 1149, particularly descriptions like 'RDP reconnaissance with valid credentials performed to multiple hosts'."
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,How can an organization respond to detections of RDP reconnaissance with valid credentials performed to multiple hosts?,Organizations can respond to detections of 'RDP reconnaissance with valid credentials performed to multiple hosts' by monitoring Event ID(s) 4624 or 1149 and implementing mitigations against T1078-Valid accounts.
TA0001-Initial access,T1078-Valid accounts,RDP reconnaissance with valid credentials performed to multiple hosts,4624 or 1149,,What preventive actions can reduce the risk of T1078-Valid accounts?,Preventive actions that can reduce the risk of T1078-Valid accounts include proactive monitoring for RDP reconnaissance with valid credentials performed to multiple hosts and event ID(s) 4624 or 1149.
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,What events indicate Impacket WMIexec process execution?,The events that indicate 'Impacket WMIexec process execution' include Event ID(s) 1 or 4688.
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,Which Event ID(s) should be monitored for Impacket WMIexec process execution?,"To monitor for 'Impacket WMIexec process execution', look for Event ID(s) 1 or 4688."
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,Which tools or threats are associated with the technique T1047-Windows Management Instrumentation?,The tools or threats associated with T1047-Windows Management Instrumentation include WMIexec.
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,What vulnerabilities are related to T1047-Windows Management Instrumentation?,The vulnerabilities related to T1047-Windows Management Instrumentation include WMIexec.
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,What does it mean when Impacket WMIexec process execution appears in logs?,"When 'Impacket WMIexec process execution' appears in logs, it indicates an occurrence of Event ID(s) 1 or 4688 under tactic TA0002-Execution and technique T1047-Windows Management Instrumentation."
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,In which scenarios might Impacket WMIexec process execution be detected?,"'Impacket WMIexec process execution' might be detected in scenarios involving the T1047-Windows Management Instrumentation technique under the TA0002-Execution tactic, possibly related to threat(s) WMIexec."
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,What behavior indicates the use of T1047-Windows Management Instrumentation?,"The behavior indicating the use of T1047-Windows Management Instrumentation includes events such as 'Impacket WMIexec process execution', often marked by Event ID(s) 1 or 4688."
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,What patterns might signify T1047-Windows Management Instrumentation activity?,"Patterns that may signify T1047-Windows Management Instrumentation activity include log entries of Event ID(s) 1 or 4688, particularly descriptions like 'Impacket WMIexec process execution'."
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,How can an organization respond to detections of Impacket WMIexec process execution?,Organizations can respond to detections of 'Impacket WMIexec process execution' by monitoring Event ID(s) 1 or 4688 and implementing mitigations against T1047-Windows Management Instrumentation.
TA0002-Execution,T1047-Windows Management Instrumentation,Impacket WMIexec process execution,1 or 4688,WMIexec,What preventive actions can reduce the risk of T1047-Windows Management Instrumentation?,Preventive actions that can reduce the risk of T1047-Windows Management Instrumentation include proactive monitoring for Impacket WMIexec process execution and event ID(s) 1 or 4688.
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,"What events indicate Interactive shell triggered by scheduled task (at, deprecated)?","The events that indicate 'Interactive shell triggered by scheduled task (at, deprecated)' include Event ID(s) 1 or 4688."
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,"Which Event ID(s) should be monitored for Interactive shell triggered by scheduled task (at, deprecated)?","To monitor for 'Interactive shell triggered by scheduled task (at, deprecated)', look for Event ID(s) 1 or 4688."
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,Which tools or threats are associated with the technique T1053.005-Scheduled Task?,The tools or threats associated with T1053.005-Scheduled Task include nan.
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,What vulnerabilities are related to T1053.005-Scheduled Task?,The vulnerabilities related to T1053.005-Scheduled Task include nan.
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,"What does it mean when Interactive shell triggered by scheduled task (at, deprecated) appears in logs?","When 'Interactive shell triggered by scheduled task (at, deprecated)' appears in logs, it indicates an occurrence of Event ID(s) 1 or 4688 under tactic TA0002-Execution and technique T1053.005-Scheduled Task."
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,"In which scenarios might Interactive shell triggered by scheduled task (at, deprecated) be detected?","'Interactive shell triggered by scheduled task (at, deprecated)' might be detected in scenarios involving the T1053.005-Scheduled Task technique under the TA0002-Execution tactic, possibly related to threat(s) nan."
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,What behavior indicates the use of T1053.005-Scheduled Task?,"The behavior indicating the use of T1053.005-Scheduled Task includes events such as 'Interactive shell triggered by scheduled task (at, deprecated)', often marked by Event ID(s) 1 or 4688."
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,What patterns might signify T1053.005-Scheduled Task activity?,"Patterns that may signify T1053.005-Scheduled Task activity include log entries of Event ID(s) 1 or 4688, particularly descriptions like 'Interactive shell triggered by scheduled task (at, deprecated)'."
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,"How can an organization respond to detections of Interactive shell triggered by scheduled task (at, deprecated)?","Organizations can respond to detections of 'Interactive shell triggered by scheduled task (at, deprecated)' by monitoring Event ID(s) 1 or 4688 and implementing mitigations against T1053.005-Scheduled Task."
TA0002-Execution,T1053.005-Scheduled Task,"Interactive shell triggered by scheduled task (at, deprecated)",1 or 4688,,What preventive actions can reduce the risk of T1053.005-Scheduled Task?,"Preventive actions that can reduce the risk of T1053.005-Scheduled Task include proactive monitoring for Interactive shell triggered by scheduled task (at, deprecated) and event ID(s) 1 or 4688."
TA0002-Execution,T1053.005-Scheduled Task,Persistent scheduled task with SYSTEM privileges creation,1 or 4688,,What events indicate Persistent scheduled task with SYSTEM privileges creation?,The events that indicate 'Persistent scheduled task with SYSTEM privileges creation' include Event ID(s) 1 or 4688.
TA0002-Execution,T1053.005-Scheduled Task,Persistent scheduled task with SYSTEM privileges creation,1 or 4688,,Which Event ID(s) should be monitored for Persistent scheduled task with SYSTEM privileges creation?,"To monitor for 'Persistent scheduled task with SYSTEM privileges creation', look for Event ID(s) 1 or 4688."
TA0002-Execution,T1053.005-Scheduled Task,Persistent scheduled task with SYSTEM privileges creation,1 or 4688,,Which tools or threats are associated with the technique T1053.005-Scheduled Task?,The tools or threats associated with T1053.005-Scheduled Task include nan.
TA0002-Execution,T1053.005-Scheduled Task,Persistent scheduled task with SYSTEM privileges creation,1 or 4688,,What vulnerabilities are related to T1053.005-Scheduled Task?,The vulnerabilities related to T1053.005-Scheduled Task include nan.
TA0002-Execution,T1053.005-Scheduled Task,Persistent scheduled task with SYSTEM privileges creation,1 or 4688,,What does it mean when Persistent scheduled task with SYSTEM privileges creation appears in logs?,"When 'Persistent scheduled task with SYSTEM privileges creation' appears in logs, it indicates an occurrence of Event ID(s) 1 or 4688 under tactic TA0002-Execution and technique T1053.005-Scheduled Task."
TA0002-Execution,T1053.005-Scheduled Task,Persistent scheduled task with SYSTEM privileges creation,1 or 4688,,In which scenarios might Persistent scheduled task with SYSTEM privileges creation be detected?,"'Persistent scheduled task with SYSTEM privileges creation' might be detected in scenarios involving the T1053.005-Scheduled Task technique under the TA0002-Execution tactic, possibly related to threat(s) nan."
TA0002-Execution,T1053.005-Scheduled Task,Persistent scheduled task with SYSTEM privileges creation,1 or 4688,,What behavior indicates the use of T1053.005-Scheduled Task?,"The behavior indicating the use of T1053.005-Scheduled Task includes events such as 'Persistent scheduled task with SYSTEM privileges creation', often marked by Event ID(s) 1 or 4688."
